idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
325,-85.0179,43.16466,0.91105,0.0,0.44504,0.6655,0.0,0.58482,0.63659,0.83164,0.7176,0.85959,0.89517,0.74206,0.61331,0.63748
397,-85.27377,43.17726,0.6331,0.99809,0.75413,0.4946,0.5216,0.80686,0.42694,0.36849,0.80686,0.7932,0.01175,0.99809,0.65393,0.6635
401,-85.23443,43.17757,0.49396,0.99365,0.90661,1.0,0.81607,0.46537,0.86722,0.52255,0.0,0.94886,0.5702,0.99333,0.73347,0.73567
441,-84.84101,43.17995,0.91105,0.99238,0.80432,0.6655,0.0,0.58482,0.63659,0.83164,0.7176,0.85959,0.28018,0.98761,0.64022,0.65771
449,-85.24437,43.18469,0.49396,0.0,0.76239,1.0,0.81607,0.46537,0.86722,0.52255,0.0,0.94886,0.9587,0.87166,0.69365,0.68386
664,-85.06766,43.21474,0.3526,0.0,0.88628,0.94854,0.93837,0.74492,0.80527,0.65629,0.65565,0.64962,0.79352,0.28431,0.73848,0.72549
905,-85.15671,43.25014,0.3526,0.0,0.40597,0.94854,0.93837,0.74492,0.80527,0.65629,0.65565,0.64962,0.69314,0.98094,0.66271,0.63713
979,-84.92044,43.25877,0.0,0.0,0.76017,0.34879,0.0,0.87325,0.23126,0.71823,0.87325,0.51652,0.50572,0.37929,0.54203,0.57703
995,-85.2554,43.26379,0.69949,0.92408,0.5467,0.80432,0.74809,0.51684,0.35896,0.76366,0.58767,0.16169,0.77986,0.97427,0.6827,0.68418
996,-85.24555,43.26387,0.69949,0.92408,0.5467,0.80432,0.74809,0.51684,0.35896,0.76366,0.58767,0.16169,0.77986,0.97427,0.6827,0.68418
1063,-85.07819,43.27227,0.3526,0.99778,0.44727,0.94854,0.93837,0.74492,0.80527,0.65629,0.65565,0.64962,0.69727,0.91963,0.74053,0.73044
1092,-85.28517,43.27795,0.69949,0.85324,0.43107,0.80432,0.74809,0.51684,0.35896,0.76366,0.58767,0.16169,0.78145,0.99841,0.66463,0.66493
1113,-85.07828,43.27947,0.3526,0.99778,0.44727,0.94854,0.93837,0.74492,0.80527,0.65629,0.65565,0.64962,0.69727,0.91963,0.74053,0.73044
1229,-85.07845,43.29386,0.3526,0.93806,0.79733,0.94854,0.93837,0.74492,0.80527,0.65629,0.65565,0.64962,0.72395,0.59307,0.80446,0.80333
1356,-85.29547,43.30666,0.69949,0.0,0.57179,0.80432,0.74809,0.51684,0.35896,0.76366,0.58767,0.16169,0.81957,0.76652,0.6478,0.64424
1435,-85.24629,43.31426,0.69949,0.95775,0.56734,0.80432,0.74809,0.51684,0.35896,0.76366,0.58767,0.16169,0.84307,0.91137,0.73107,0.7412
1479,-85.54216,43.31872,0.54543,0.85324,0.65407,0.08736,0.66042,0.0,0.0,0.43488,0.28558,0.56194,0.07783,0.99206,0.47801,0.474
1825,-85.04955,43.35163,0.19854,0.0,0.29924,0.57624,0.43996,0.91868,0.91868,0.0,0.91868,0.71156,0.9317,0.44473,0.59116,0.57954
1863,-85.40477,43.35608,0.54543,0.8777,0.56671,0.08736,0.66042,0.0,0.0,0.43488,0.28558,0.56194,0.86722,0.62961,0.58402,0.58988
2344,-85.04026,43.40208,0.19854,0.94632,0.7697,0.57624,0.43996,0.91868,0.91868,0.0,0.91868,0.71156,0.44632,0.40248,0.62035,0.63204
2357,-84.91191,43.40279,0.28018,0.98983,0.29193,0.30337,0.58799,0.16709,0.49333,0.08164,0.05146,0.37325,0.24746,0.68964,0.48324,0.48878
2596,-85.47517,43.4274,0.76747,0.92408,0.64485,0.23094,0.29638,0.32179,0.08767,0.2249,0.37325,0.22967,0.32243,0.97586,0.54348,0.56435
2629,-85.14924,43.43017,0.1277,0.0,0.44854,0.73634,0.86753,0.67408,0.56576,0.15407,0.51684,0.44568,0.38945,0.34657,0.46995,0.44019
2690,-85.27775,43.43639,0.1277,0.97713,0.71093,0.73634,0.86753,0.67408,0.56576,0.15407,0.51684,0.44568,0.20457,0.65693,0.59884,0.5876
