name,address,lat,lon
,"409 S. BRIDGE ST. BELDING, MI 48809",43.09457,-85.22922
,"108 HANOVER ST BELDING, MI 48809",43.09748,-85.22591
,"2191 HARWOOD ROAD IONIA, MI 48846",42.95489,-85.0937
,"30 N CENTER STREET SARANAC, MI 48881",42.93022,-85.21039
,"6070 DAVID HWY SARANAC, MI 48881",42.93036,-85.19511
,"331 S MAIN STREET CLARKSVILLE, MI 48815",42.83798,-85.24192
,"13122 CHARLOTTE HWY SUNFIELD, MI 48890",42.79739,-84.89656
,"720 N BELLAMY ROAD IONIA, MI 48846",42.99796,-85.13395
,"439 W MAIN ST IONIA, MI 48846",42.98193,-85.06957
,"1042 E WASHINGTON STREET IONIA, MI 48846",42.9862,-85.03175
,"8505 POTTERS ROAD SARANAC, MI 48881",42.98,-85.24306
,"104 PRAIRIE ST LYONS, MI 48851",42.98193,-84.94657
,"122 E SUPERIOR ST MUIR, MI 48860",42.99613,-84.94029
,"137 MAIN ST PEWAMO, MI 48873",43.0011,-84.84781
,"126 N WASHINGTON STREET HUBBARDSTON, MI 48845",43.09227,-84.84195
,"3862 LAUREL DRIVE LAKE ODESSA, MI 48849",42.77904,-85.15033
,"4018 KELSEY HWY IONIA, MI 48846",42.92903,-85.04469
,"028 BOARDMAN RD. SW SOUTH BOARDMAN, MI 49680",44.641,-85.1757
,"3077 PALMER RD ORLEANS, MI 48865",43.06818,-85.13698
,"10463 BELDING RD. BELDING, MI 48809",43.08675,-85.28227
,"259 KENT ST. PORTLAND, MI 48875",42.86847,-84.90397
,"883 CROSS STREET PORTLAND, MI 48875",42.88189,-84.91433
,"4987 STAGE ROAD IONIA, MI 48846",43.06143,-84.99591
,"2975 BIPPLEY ROAD PORTLAND, MI 48875",42.81402,-85.01467
